SAQA Qual ID,QUALIFICATION TITLE,QUALIFICATION TYPE,SAQA LINK,NQF LEVEL,CREDITS,QUALITY PARTNER ,ATTACHMENTS
104798,Aalim,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=104798,NQF Level 6,549,HW SETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/lLsa0QFQaoD_-zS0KZLqnA/oRi7TQ1huXylbsYi_4GmGquAkq6wK1wmU5RhWdfQ1w5GbUG17NMZoAh3LH1XgiQh2nT3OePDy8uwW7R2MAs0HDHBE3hhFUzDzYMmYN66w6q3HHMEpCGjqd2S8ngqDtFcYr2q9mZiGVFfhQfzcQ0uY4fE9MhiOG8iWUFqNgWHvrg/s1ZvW63JFU0aB8i1XBSZAZwqyPFO2yVOGbUaoMwpEnw),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/4eGUZD5uO5zBJTIF0gEQjA/nZ6Z8_g55-pXIKrSb_t7j16plyS2bTVfTyp4YWbHkHGQlB1ZUmC3539GyT8JElJhdbxJAp-_dNE2-u8RiFrPc-uPe18oEvh4i17WRcGp3uqAjLNdiTRoFi-OU3UEWVoYxsAvkzLTrmX3w8AGTfjO4Wiq0bI-qNjaEjozZ5OTVpI/YgoNzopswYy7EKidnlmOvRnxQHtquvwrBELK76IHTK4)"
118695,Abattoir Foreman,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118695,NQF Level 4,165,AgriSETA,"Abattoir Foreman-External Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ltsFOQhuK5Ei4IsMwxQ68g/mnfWZjt1ztnEujfpOAlenTfk7pg5TNMIQZL7EQgBWyIO6oMCmQS1cUp0qhRgb37ATOlIbOc4fqbdfLr3ywYws7PcoDsW2mWsfe88prxR92VVEK2PTBwhIC80MwjNZJhCW3tE3X0JVZpvF_OUGRRDlTcXJqdmwMUXh2jWuQDrr5tTz6xH83yjkR4QtbC16X9AvQfAiWY5Im2CggSmVWsvkA/7fjdlofItYrsy0RWpR3PrLJ4ZW3js6TYyfZsiBbHRkU),Abattoir Foreman-Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/U7ZasPFxGP2BDiW6BnuCmQ/sLZ2E9EA3S675Ec0SkMlZZm1vIsX-kKGG-3go81xbOwjT69uWWvlBqgpQGgbyA1HIYW4yD7vpwk0KOIGnd6gMV5RFr5y8BFVDVCd182zlg9F6defjPZ5fDhUyeasOHbc3o5et0KD1y4tDZizDr4Q9yUcXK5JREV9W1zHLkEHQj8tGop7MhdPOQUhzer4HAUd/xXt9C-QjlCJzt9e-elrH0TqTFPgaUsoSSNALYHnhUrw),OC- Abattoir Foreman.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/_rXbG9eaTxO_G-WRbpvkVA/3BTdm72LXcvyx2xyMK_AAn2NR1C3mb1jaBb1GhpY7h9EzS8IKMxLlEph9cpUcYB4ke_ibd85H0vIYNOoMorTposAZd0l_efDDj1upW8zQQC9dMXpyRrO_bvsZz9dtTbPwAXkNHYXlgiISJYe-uor8TF3_oogv0q08TA-1uspoTs/996goKka94KviNru4uK9dtf1fV2zcwV35XJ_LiNznck)"
118696,Abattoir Supervisor ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118696,NQF Level 3 ,64,AGRISETA,"Abattoir Foreman-External Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/4TxMa0Bn3tZQJ-2fjkfGug/gkboCN2nQ75BvBAW0PSWdMXqPWkytiMyfIhkeuV0mDic6gjvhJYXpDAbAninfXAJHcOJbxvi025WwUykR8XKZOYUzvE2U5MQQ04lzWzVD085-aqV9Rmyw6QZe8yXLIxa2DguuOIbddmCDix0vuV4s6Zryy24pnblovTe6JrQ5fE6pEgnGAgCE0BVKgShfNmXdfdFnoEj1hXX3oO-HDkpEA/AixEs3RvquDwcW-BPv1GDSq4uas0128B-ZbUdj2aKu4),Abattoir Foreman-Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/g238XlPbXei5MKyU0V4stw/5NL-4Uvf8OpX5FJEyG82VSlD0OhgnTBTM5kFPVVtsXZlwkevnisNod8VhPL0pfySlsKlPdqS2kd_Aqu5HcyWG2_uaPS3nwlO1lFcvEqC960ikEZES8LrKDk5zu5cZVDFIRX0na0e6hvY2rZ1eAf3Q3AMoFxuMN6gqP7cRp9inPQxxBV8IHkqwfadH5XxFFny/l6bxMJ9eQemCIUdAHVgrFBWo5ot_2qi-GJfLcy-V3mw),OC- Abattoir Supervisor.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ztkoxX83QdR78z2bj_8PqQ/eLRDHnKB_-96EvT3PI7lHKQbxntVsX3pRg6B5ZyZvc_mI9IRwnNGerC8CGBopX6uxL9-uVdDtuerRnRW9gZYOg80ljFWBcnoeqQFREJWOEJ9chu4ZRGjisHhZ4h-YtHsls2FU3F4Kezdox9thSoD-BE8gpE0slLY08XoDqmMvDU/b1IFa8ek_SW0eNfCQ44uutsjgc1Z-JgI5vYa2-fzPhM)"
118712,Above Surface Cleaner ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118712,NQF Level 1 ,46,SERVICES SETA,"Commercial Cleaner-External Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/4oAtttdUGhX3a5jzfp1USQ/grKMbTo_WYYS6nsWGhBMN-ry1E0E3bRvZcZkKkhjh_-Z2Z9igHSPw6ZWDFmr1fyOf9IMdNsRwKrQuaT5ZPcC9E4664fTTq66SB6J8kGRlRgB82H87_zAbn-OlqxZk1jQmTul6Zs0fnOTbBgdRN-N7qM1HjFPO6Tu-tzeii9h-1sjSa2fOm2DOotavXCrwRQgPgsxnhtS3XipR8AQ5VpQMw/Cq45i5AtdhWDO8k7iSNpf6nfN2pDEN6pJd_eAYAIWw8),Commercial Cleaner-Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/IQph4KDpJFgJvpg4paDB2A/iiYBTA0_pWbQ41sKkkO85FuNqQFXKjwSgpvMOcZzJRsZdUCL6UsQPRGXk_uhSrm_NRNDOUicUFZm2_xR7eKpk1Fv-FLCP3otv5Uchnlm0sQXCHaDZnXWkNmuU9CRMFUYjG8kbJNcSZOLEcE8HtjsLhz-Zl7R-vmp0zKVKxpuTT9jFZ2Jq2Bo3R709iIHm_Qg/KHhz-WJXQRPyeeQcsNn_wTc9GE_OVdWMgXvxEY3K4HA),Learnership-OC- Above Surface Cleaner NQF Level 1.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/tNjbCCl5RZaaM5BodvMsmg/geW8dsyHd5bl7g65hrUmIBj54jFy8BFjrkuRqb0wrPZD7CylWyQO6kebCAtgWFnTTI8M2EvTDd98IWuQZ7RFCrs3-eDBXJ-nzx4ADe25uS-peDvCz7vmM3UDmSvnii46IpNeX9PRPHEdeu9_3f97-0yghnIIaQSoVmegwpwWSur2F-XR-f5RkOiBzfOju_h5/-b1gtYMZ7OL0aFGVpLmHxtOwU6Zek3ru6S6NFC4KSBA)"
110903,Access Control Officer,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=110903,NQF Level 3 ,25,SASSETA,"Curriculum Docment.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/mMbmaB16kt5ws7ctjfVOrA/if2M2ck1XyXi-GJQS9AByB4R-kWMwiR53surQ6ps5sGHfrJ_OczMxiSDF9bbjXu-Ne3SszfhQPc88MviFtoaykWCtlJrl0tgMZu90ah1_hUJx9e1rLXsHhPMJNqYfc2KO7yhdv9m_T0tGsniKEewpkP0aJK5Ov7RcINJ9PRaOz8/kXUxYvAeJe0eqIBgYUgViQf_KVpSvdDKt9C951SWkE4),External Integrated Summative Assessment Specification Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/70yiRWtHVpQbzkgx5jRA3w/v0gU7TwKHITpTetI4ILghL7R7Ou9hzPKiEOjGEM4RmTTpQRulQxgmAbcNNbBPGwkpc5M3Ur01CQS6NB2gauOiogd9wgLbLWULozXJjFeuW2jPMOG_OLS9O9oyQPDqHE7TL73J-yh1V6eCfERONtJXclGNNWiUHZNYgv6GZQpHSeozgL8_Bay9Pbw_Rwy5vgxXcrw8dEC0S8ahCpjUUiXyA/I4TaNv5aVWRDnlZ6Ydiu-u2-KjK45GmdF9ulTBdxb_8)"
118867,Access the Bars Practitioner ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118867,NQF Level 5,56,HWSETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/_V_8AsvEaZmatU011Zxp9Q/WVuuBe0CZYXHuuFFH0qTt2sbmJwECkATi4PXBJh1kL-yxhzRrriPp4JyJ7zwCe-vVx-pZuDi3cUksXO7TJXUhTnpoptXuVDWD_iTnZHkdWTBBM5TB7eniBUcrSm35Mi_7vUkVVOsfrK9QNq8_3W-jlNOv2ZTnYpQOqoc47XRazw/YRtGf5STQPCYvLsvV1iZD9NqGMXXrORgJq1aRbxr3Sc),Curriculum Document- Access the bars practitioner-Access the bars practitioner .pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/iXZd_0cWxbJcewpVjT-PQg/S37kghMuIN9Jg29y317UsYfwJ5936R4u4EbBthN2InFBCSWNh9Yxd_9eo4i3tBvCx6S0cTl4UVQsK8y_v3h2OsTw2EXkSr4GMPU6dDPjFgC2pjbS5IeHZ6lvifW8adimpbtmJqjy90q7DfbZWEYDzrjbPw8dl8fOuDgVm3Pf-dLnFDUnmYJKYzKKmuzZfW37SfDTodveiGz1pVr4xeRpMUax2kjW95O_FBYcRaWhi5Q/GSNhrDSWDtDFCYGPRKaS8Osd8l0Yw4Rccj81-eqXZdo)"
118119,Adhesive Binding Machine Operator ,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=118119,NQF Level 3 ,115,Printing SA            FP&MSETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Sh-r6BLlcwbgEdm2hjkvHg/3E4DvPAiJb9D4LoIGHj1uBONhxp4BRDx3EccK5Bqr3DDkS6wvaU8GZseZ9OjIFGOWvCrHLly1qpaFFuBd3NW5OhSKl94Uk8DkLciysEFHj6DwLdZZcWb9icQc1KNMcwThd_VcihEHYM5E7il76IkZPKqIvPsJDBkXMYDfjqpQv8/nVjo2ya3w_M4_Fu0BP_jkTbvyDeHaogqSg5--dwZqFs),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/dt2Upgt1NhzvcTYVuEmXfA/Ik4HLMACPi2Hwro8yZrTifhgxC-LvYQYcMmnEskTUJK_VZoAPVAfcD466VnjuyT6AkAVwXpbzSsHOjPjwPFYovDX8KW_j3lvMhDBDJM6E2BZeg1SbcqCUMZV1dghJMGFZ5gSOVyR71HGQU5mDpXsdSwNpu2zCcejGhfy7wwopA4/5GlHEPFkdEADp8ifadB2Kx84Jrsl7voiHwudaeZo2bo)"
120683,Administrative Attaché,Higher Occupational Certificate,https://regqs.saqa.org.za/viewQualification.php?id=120683,NQF Level 5,130,PSETA,"Administrative Attache-Assessment Specs.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/c9MvK7XHvhfTWhrzMePk1Q/plylxlmheG8Ew104Z1EGjxMwFiJpaawxVNy1_GNfKgRMTvubBsWbSwjCfEfGjNvm7RuSOPA2v3X8T6dY6eqXyH8EX3aWPO8uSWPeNAHy9i9XY_1rPoofy2BT3XZEUY6IyKggWowACGM9vqXRaPVGQ3wM7UWlmHkk6vO1gavmzVcqQPryYRe7Gox_k_HFMf4Y/nxj_mz1t_k_a9UBUWLXxl7WqOPSOAi6K464u9mPEuhI),Administrative Attache_Curriculum.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/o1l3L2Q9WB5ae1FrAwvpwg/Vr8N7JMGOsCSBXadbMn9AMiW2vFUQ6TYZ3cvSB1B4UZE7rhceeg1lDVnHi-xs3ThNIFT4WkscEDNWRubIE61culosKM1hx98u4Pz2Zs-KEq8bmbUXY5C2Jg7PBUygyqQXxC3w1KISi5yDUI-M7Xv72UsgsxnR6ycrCQOZaFkzB4/FsDHJZyZufQO79tb9ktw8MlGWdzv7Z7giwk5cVJJSfI)"
101709,Adult Literacy Teacher,Occupational Certificate,https://allqs.saqa.org.za/showQualification.php?id=101709,NQF Level 5,198,ETDP SETA,"Assessment Specifications Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Su-3VJWHPAcVCKtuJPd8bg/qYBVTTZ2CzB_AprW3z6iKe2yt0NRsBQO6yANttX9UByU0wxmU2TjvQGEukuBilaHDKL9l5lQ4DR7U0_9ExfqnzcuVX8so2TjGuElYZ4p6-pEGOotzcLMyuI_kdlsYE2MvFY5jRpC86TvIEc5LR18wTDTVcGLXGJfXJ_32olyDxE/X0FztOcfxoSvFQDQ4V7sNcrKSzAyNBfiQsm4Oz8H7BA),Curriculum Document.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/3Es7NVI3mzKRyr_HmEzq3Q/AF4QxuwyjsjjkwAAVC2cCEQBg4XX1CtCcmkLIQGYWwtm_JYFKXUzNMINs4vucsncYvCFRnL-lM8WfXnJPoEgPivFFzAFcMHf7S1jd4-cVRNgKwMefssPKeUZqJGQyfI-t9n5WxStlGhYJbXeOXnzV6ODmJvca5Ami5A8lSp2e-0/zykMLvPvRKSjVoX6a8-qRAGBS0_SoIK9xhL0ssUPASQ),OC Adult Literacy Teacher L5 198.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/hTw0QTDW8qQ46HQsbIF4Tw/0J-jEEBQyl9Tvl_5-r83fWTRTZvX2ItJv9dLDjCDsPusk33x1_gbcHLJqnwZpcDlN_LMrsMLDd0X0Q4S7WBVhNGqPrkZ6iqS47BRfpJU5ESexbUzHKFl7SqcOaT7uC5rqu6EBXbi6-m2MZZRy5xBDlfBoGfSbJnxIaNFk0gXdJ37yA7E7ZTrtMOvNA0EvG5d/LEbd31UpkG48e_Tqp959VQ8U6EtQwW1wAbHBVggLg8g)"
121447,Advertiser,Higher Occupational Certificate,https://regqs.saqa.org.za/viewQualification.php?id=121447,NQF Level 5,120,MICT ,"Assessment Specification Document Advertiser.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/xKfkZoL7tIKprJUuHizs0Q/cU29EqAD5iyfYFOnitDYPIxYu9JMPEtehhcXyISu3H7oO-N747uuwCCHoIzBpuiHe_bm0qzy29oMmocwD0eqAoyz4-9H-xxAkhRCR8xTXbykdQATnnp8E-S4jNpvwZ-G3x-r7UVQGMhnFKgYByKABjDL_tVN_KiuzfHAolIGaHcOtt_EVdlAUO9yq6JDNLFS0XYbA9uzDvY7FGPhIZiH5w/QCb8nR4quCE3ww-pCNshWOaWLJ6tMgUzd39cvwSrRrI),Curriculum Document Advertiser.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/esaBwv8RnDgEYM-Tg2mcqQ/SM2Dvq_6tGRAMRo1HKdIEKx0o3ckNV7vjEx9ZaYrxzqtbCzdHwwmZVCJh86rKGuD2TJit1kuUTUSJ1KIsBIcGBe-yZZsvJiC7dseNuW_tO5VQ7g0odiQAFdWR4Mc8_HUVH7C_VVul6LM_hXm7bQrJdJDVjNKJxOrgBuJRkURtBDVVnn78hrfyXizy576XZ6z/k9IL4HJwB2jIQ0scf_hspA7wOYob2rDFAq9QOG6qC84)"
