SETA Name,Postal Address,Physical Address,Telephone,Website
Agricultural Sector Education and Training Authority (AgriSETA),"PO Box 23378, Gezina, 0031","AgriSETA House, 529 Belvedere Road, Arcadia, Pretoria",012 301 5600,www.agriseta.co.za
Banking Sector Education and Training Authority (BANKSETA),"PO Box 11678, Vorna Valley, 1686","Building C2, Eco Origin Office Park, Eco-Park Estate, 349 Witch-Hazel Ave, Highveld, Centurion, 0144",011 805 9661,bankseta.org.za
Chemical Industries Education and Training Authority (CHIETA),"72 New Road, Glen Austin AH (Grand Central), Midrand, 1685","72 New Road, Glen Austin AH (Grand Central), Midrand, 1685",011 628 7000 / 087 357 6608,chieta.org.za
Construction Education and Training Authority (CETA),"PO Box 1955, Halfway House, 1685","52 14th Road, Noordwyk, Midrand, 1687",011 265 5900/1,www.ceta.org.za
"Culture, Arts, Tourism, Hospitality and Sport Sector Education and Training Authority (CATHSSETA)","PO Box 1329, Rivonia, 2128","270 George Road, Noordwyk, Midrand 1687",011 217 0600,cathsseta.org.za
"Education, Training and Development Practices Sector Education and Training Authority (ETDP SETA)","Private Bag X105, Melville, 2109","Hosken’s House, 45 Mooi Street, Johannesburg",011 372 3300,www.etdpseta.org.za
Energy and Water Sector Education and Training Authority (EWSETA),"PO Box 5983, Johannesburg, 2000","22 Wellington Road, Parktown, Johannesburg",011 274 4700,ewseta.org.za
Fibre Processing and Manufacturing Sector Education and Training Authority (FP&M SETA),"PO Box 31276, Braamfontein, 2017","Thynk Park, 1st Floor, 8 Summit Road, Dunkeld West, Randburg, Johannesburg",011 403 1700,www.fpmseta.org.za
Finance and Accounting Services Sector Education and Training Authority (FASSET),"PO Box 6801, Cresta, 2118","1st Floor, 296 Kent Avenue, Ferndale, Randburg",011 476 8570 / 087 821 2680,www.fasset.org.za
Food and Beverage Manufacturing Industry Sector Education and Training Authority (FoodBev SETA),"PO Box 245, Gallo Manor, 2052","7 Wessel Road, Rivonia",011 253 7300,www.foodbev.co.za
Health and Welfare Sector Education and Training Authority (HWSETA),"Private Bag X15, Gardenview, 2047","17 Bradford Road, Bedfordview, Johannesburg",011 607 6900,www.hwseta.org.za
Insurance Sector Education and Training Authority (Inseta),"PO Box 32035, Braamfontein, 2017","18 Fricker Road, Illovo, Sandton, 2196",011 381 8900,inseta.org.za
Local Government Sector Education and Training Authority (LGSETA),"PO Box 1964, Bedfordview, 2008","Gillooly's View Office Park, 1 Osborne Lane, Bedfordview",011 456 8579,lgseta.org.za
"Manufacturing, Engineering and Related 
Education and Training Authority (merSETA)","PO Box 61826, Marshalltown, 2107","Metropolitan Park, Block C, 8 Hillside Road, Parktown, Johannesburg, 2193",0861 637 738,www.merseta.org.za
"Media, Information and Communication Technologies Sector Education and Training Authority (MICT SETA)","PO Box 5585, Halfway House, 1685","Gallagher House, Gallagher Convention Centre, 19 Richards Drive, Halfway House, Midrand, 1685",011 207 2600/3,www.mict.org.za
Mining Qualifications Authority (MQA),"Private Bag X118, Marshalltown, 2107","7 Anerley Road, Parktown",011 547 2600,mqa.org.za
Public Service Sector Education and Training Authority (PSETA),"PO Box 11303, Hatfield, 0028","Woodpecker Building, Hillcrest Office Park, 177 Dyer Road, Hillcrest, Pretoria, 0083",012 423 5700,pseta.org.za
Safety and Security Sector Education and Training Authority (SASSETA),"PO Box 7612, Halfway House, 1685","Building 2, Waterfall Corporate Campus, 74 Waterfall Drive, Midrand",011 087 5555/5500,www.sasseta.org.za
Services Sector Education and Training Authority (SSETA),"PO Box 3322, Houghton, Johannesburg, 2193","15 Sherborne Road, Parktown, Johannesburg",011 276 9600,www.servicesseta.org.za
Transport Education Training Authority (TETA),"Private Bag X10016, Randburg, 2125","344 Pretoria Avenue, TETA House, Randburg, Gauteng",011 577 7000,www.teta.org.za
Wholesale and Retail Sector Education and Training Authority (W&RSETA),"Private Bag X106, Centurion, 0046","Riverside Office Park, Hennops House, 1303 Heuwel Avenue, Cnr Lenchen South & Heuwel Avenue, Centurion, Pretoria",012 622 9500,www.wrseta.org.za
