Province,College Name,Postal,Physical,Tel,Web
Eastern Cape,Buffalo City TVET College,"Private Bag X9016, East London, 5200","Cnr Lukin Road & King Street, East London, Southernwood, 5200",043 704 9262/01,www.bccollege.co.za
Eastern Cape,Eastcape Midlands TVET College,"Private Bag X35, UItenhage, 6230","Edison Street, Uitenhage, 6230",041 995 2000,emcol.co.za
Eastern Cape,Ikhala TVET College,"Private Bag X7110, Queenstown, 5320","Zone D, Gwadana Drive, Ezibeleni, Queenstown, Eastern Cape, 5326",045 873 8800,ikhala.edu.za
Eastern Cape,Ingwe TVET College,"PO Box 92491, Mount Frere, 5090","Badibanise Village, Mount Frere, 5090",039 940 2142,www.ingwecollege.edu.za
Eastern Cape,King Hintsa TVET College,"Private Bag X3018, Butterworth, 4960","218 Mthatha Road, Butterworth, 4960",047 401 6400,www.khc.edu.za
Eastern Cape,King Sabata Dalindyebo TVET College,"PO Box 5039, Mthatha, 5099","R61 Queentown Road, Cicira Village, Mthatha",047 505 1000,ksdcollege.edu.za
Eastern Cape,Lovedale TVET College,"PO Box 2156, King William's Town, 5600","1 Amatola Row, King William's Town",087 238 2223,www.lovedale.edu.za
Eastern Cape,Port Elizabeth TVET College (now part of Ntsika TVET College),"Private Bag X6040, Port Elizabeth, 6000","1 Richmond Park Drive, Richmond Hill, Port Elizabeth Central, Gqeberha, 6001",041 509 6000,www.pecollege.edu.za
Western Cape,Boland College,"Private Bag X5068, Stellenbosch, 7599","85 Bird Street, Stellenbosch",021 741 3000/1,bolandcollege.com
Western Cape,College of Cape Town,"PO Box 1054, Cape Town, 8000","334 Albert Road, Salt River, Cape Town, 8000",021 404 6700,www.cct.edu.za
Western Cape,False Bay College,"Private Bag X25, Tokai, 7966","Main Road, Muizenberg",021 787 0800,www.falsebaycollege.co.za
Western Cape,Northlink College,"Private Bag X1, Panorama, 7506","80 Voortrekker Road, Bellville",021 970 9000 / 0860 065 465,www.northlink.co.za
Western Cape,South Cape College,"PO Box 10400, George, 6530","46 Hibernia Street, George, 6530",044 874 2360,sccollege.co.za
Western Cape,West Coast College,"PO Box 935, Malmesbury, 7299","2 Loedolf, Malmesbury, 7299",022 482 1143,www.westcoastcollege.co.za
Free State,Flavius Mareka TVET College,"Private bag 2009, Sasolburg, 1947","Cnr Fichardt & Bell Street, Hertzog Street, Sasolburg, 1947",016 976 0829 / 0815 Ext 4000,www.flaviusmareka.net
Free State,Goldfields TVET College,"Private Bag X95, Welkom, 9460","36 Buren Street, Flamingo Park, Welkom",057 910 6000,goldfieldstvet.edu.za
Free State,Maluti TVET College,"Private Bag X870, Witsieshoek, 9870","Mampoi Road, Phuthaditjhaba, QwaQwa, 9866",058 713 6100,www.malutitvet.co.za
Free State,Motheo TVET College,"Private Bag X20509, Bloemfontein, 9300","Cnr St Georges & Aliwal Streets, Bloemfontein, 9300",051 041 7850,www.motheotvet.edu.za
Gauteng,Central Johannesburg TVET College,"Private Bag 70500, Houghton, 2041","5 Ubla Avenue (off Princess of Wales Terrace), Parktown, Johannesburg",011 351 6000,cjc.edu.za
Gauteng,Ekurhuleni East TVET College,"Private Bag X52, Springs, 1560","Sam Ngema Road, 700 Scheme, Springs, 1559",011 730 6600,eec.edu.za
Gauteng,Ekurhuleni West TVET College,"Private Bag X1030, Germiston, 1400","Cnr Flag & Rose-Innes Roads, Driehoek, Germiston",011 323 1600,www.ewc.edu.za
Gauteng,Sedibeng TVET College,"37 Voortrekker Street, Vereeniging, 1930","37 Voortrekker Street, Vereeniging, 1930",016 422 6645 / 016420 2520,www.sedcol.co.za
Gauteng,South West Gauteng College,"Private Bag X33, Tshiawelo, 1718","0822 A Molele Street & Cnr Koma Road and Molele Street, Molapo, Johannesburg, 1860",010 141 1000,www.swgc.co.za
Gauteng,Tshwane North TVET College,"PO Box 26193, Arcadia, 0007","Cnr. Kgosi Mampuru (former Potgieter Street) & Pretorius Steet, Pretoria Central, Pretoria, 0002",012 401 1600,www.tnc.edu.za
Gauteng,Tshwane South TVET College,"PO Box 151, Pretoria, 0001","85 Frances Baard (formerly Schoeman Street), Pretoria, 0001",012 401 5000,tsc.edu.za
Gauteng,Western TVET College,,"42 Johnstone Street, Randfontein, 1759",011 692 4004/82,www.westcol.co.za
Gauteng,Coastal KZN TVET College,"PO Box 1795, Amanzimtoti, 4126","50051 Mfundi Mngadi Drive, KwaMakhutha",031 905 7000/1,www.coastalkzn.co.za
Gauteng,Elangeni TVET College,"Private Bag X9032, Pinetown, 3610","15 Portsmouth Road, Pinetown",031 492 4363,www.elangeni.edu.za
Gauteng,Esayidi TVET College,"Private Bag 814, Port Shepstone, 4240","5 Nelson Mandela Drive, Port Shepstone, 4240",039 685 5482/3,esayiditvet.co.za
Gauteng,Majuba TVET College,"PO Box 5613, Newcastle, 2940","83 Allen Street, Newcastle, 2490",034 326 4888,www.majuba.edu.za
Gauteng,Mnambithi TVET College,,"77 Murchison Street, Ladysmith, 3370",036 631 0360,www.mnambithicollege.co.za
Gauteng,Mthashana TVET College,"Private Bag X9424, Vryheid, 3100","266 South Street, Vryheid, KwaZulu-Natal",034 980 1010,mthashanacollege.co.za
Gauteng,Thekwini TVET College,"Private Bag X06, Dormerton, 4015","262 D'Aintree Avenue, Asherville, Durban, 4015",031 250 8200,www.thekwini.edu.za
Gauteng,Umfolozi TVET College,"he postal address is Private Bag X 5023 Richards Bay, 3900","58 Naboomnek, Arboretum, Richards Bay, 3900",035 902 9501,umfolozicollege.co.za
Gauteng,Umgungundlovu TVET College (UFET),"PO Box X9060, Pietermaritzburg, 3200","44 Burger Street, Pietermaritzburg",033 341 2100/2214,www.utvet.co.za
Limpopo,Capricorn TVET College,"Private Bag X9674, Polokwane, 0700","16 -18 Market Street, Polokwane",015 230 1800,capricornonline.co.za
Limpopo,Lephalale TVET College,,,,
Limpopo,Letaba TVET College,,,,
Limpopo,Mopani South East TVET College,"Private Bag X1024, Phalaborwa, 1390","Cnr Combretum & Haarlem Street, Phalaborwa, 1391",015 781 5725,mopanicollege.edu.za
Limpopo,Sekhukhune TVET College,"Private Bag X8660, Groblersdal, 0470","A, Motetema-A, 0473",013 269 0278,www.sekhukhunetvet.edu.za
Limpopo,Vhembe TVET College,"Private Bag X2136, Sibasa, 0970","Stand No. 203, Unit A, Sibasa, Limpopo, 0970",015 963 7000,www.vhembecollege.edu.za
Limpopo,Waterberg TVET College,"Private Bag X2449, Mokopane, 0600","C/o Totius & Hooge Street, Mokopane",015 492 9000,www.waterbergcollege.co.za
Mpumalanga,Ehlanzeni TVET College,"Private Bag X11297, Nelspruit, 1200","Corporate Centre, 29 Bell Street, Mbombela, 1200",013 752 7105,www.ehlanzenicollege.co.za
Mpumalanga,Gert Sibande TVET College,"Private Bag X2042, Standerton, 2430","18A Dr Beyers Naudé Street, Standerton, 2430",017 712 9040/58,gscollege.edu.za
Mpumalanga,Nkangala TVET College,"PO Box 2282, Witbank, 1035","New Central Office, Cnr Frans & Susanna Street, Witbank",013 690 1885,www.ntc.edu.za
North West,Orbit TVET College,"Private Bag X82096, Rustenburg, 0300","Fatima Bhayat Street, Rustenburg",014 592 7014 / 5500,www.orbitcollege.co.za
North West,vuselelacollege,,"8 Bram Fischer Street, Klerksdorp, 2571",018 406 7800,vuselelacollege.co.za
