SP ID,Skills Programme Title,NQF Level,Credits,Attachments
SP-230301,Chemical Hair Reformation Attendant,4,51,"Curr Doc Chemical Hair Reformation Attendant 4 51.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/SzCP0hv8GM5G92E2PPAI6g/1C6ZIUowKnQ0d4v3Fy_JcjXD55ZRkCpU47ZQwu77Xd0bQqjkpoqpRidKNpnYAaz82TVnmjh7IQBOalvyv7FC0UEY8maggssKPZeL6Od8cBYcNrPGKhWKL9IZ4atvurNtQXeQ6LIL4F1GKk4mzSHuRJkNk58wOTGwFjxJrCQj0WE73fi3YsFV91yrGesb1cKo/e_pmeKVeenRPtwND8A9Pj8ohD5ojd9KiuNpd2t8mfLQ),SP Doc Chemical Hair Reformation Attendant 4 51.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/Me_wE17e7SYKG-7lvYry1A/q0X-VjQM5bhiAkMIweF3Kbq626maHUo7_pRCfIDZQP3Zm4LLe6leyk5cFMnD5mmEM0svgAEuuqk7LRUXKtgDvyP0ZuVZbRfv8pT4og1sQj81m_jswVqxeFM6_J7RNOLZW8aJ0-A5a072F3xoUEIoQoMM_QPMxOrP-ZhvZZbZ9eTe8D7qGh-FZ1rg-f1HasnT/miMfLsAMnWPGAk7ZDybZFYZAOCvqPBULUNwlVxrkd_M)"
SP-240501,Heat Pump Installation Designer ,5,10,"SP -  Heat Pump Installation Designer.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/CEfL6KH_a7uaQWWo0wUPUQ/WpYbPUhDAgecMMn-wI7KR0CZxKfXIo73diZHEmMFTAj9Ip8qUCl8qfFxH18zYsoHS4Xfg40lg_hD9RXHZvY7WAWmRd8OD68LMUZpNpIiiVizsazCwZ7kTdyWkFQ9AQAzj56cw7F7lHjj3Lh1TovAqPSwesGlDiKdUbF3Hvs0Z7SyZGBcMDSKXe1sA3U6vxhA/SiharJs9oU7B5JI4IKAlw0-p8c_Ah-vFEkWlJzbkvgk),SP Curriculum -Heat Pump Installer.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ry8bjOs1wg0vvbBvXXiKaQ/63y-pyD1N-Occf_O2RE1Tsr3JGhuLDEpN_-xAikTJvzyy2si_9XP_6EqpEHz8T27vaW7QJksD1f4HBI-5lIR7UAlM1YQpozhLjpD7L-z2SidiZPn-8Fi_behA_REp7IkIspt267vWH1HqD-bnhH4UpkulgeN_QnDlXNEn5oPQRCOe9psJxbeSpxVAcGesu7H/lJvCNkmBZG2SCXJQhwtRHLr40BdCOPqdjqPqwUtwbUw)"
SP-220320,Assessment Practitioner,5,20,"SP Cur Doc - Assessment Practitioner 5 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/gCgjyXRhvcQYE_3-fWwYGA/K_Xf5kEcq9Xi7O2MUq4rIZJ96SEot4W0FUMk1xaqTD3Xxh4QOBYjX82cYExEh0veMIgvfahshvOvlnq186JSDeZ_ln3ofA6wiSSxmSWR9aYlEPdrdQaLqYe2CE5QAvQWYIUByVq8V4SZnnOXEeMV1PMgwvnkE59mN5pvjN-4shZws6jnZF5A6ysKF7tKue_K/q7LYzzmC8inBifmMSjnVBJw3M4y2REcH0sOqmBrwR2A),SP Doc Assessment Practitioner 5 20.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/AmJmcJB50RMPSm-jmnJ0uA/AeiIE_2_4hHTzFWnivDrgL4uRhqu4cyuhd6Ne68ST87NAaQ2vIWjbvDZFkBlB6DYgjJ1a2kIr-y9_4phcts5jYiKCO_euJLNr1nfrzj1SgQb_wVRvrt7YMM_0VB0Y_usAINgRjvP2qxOWSJo4aGUO_pj6-f5uoaGQKi-sGTQRvY/jn9VJjTSsFemcWpGC3ayHx2p6i8Fgm6JbuTOjKA0XnE)"
SP-251001,Bank Customer Service Clerk,4,40,"SP Curr - Bank Customer Service Clerk 4 40.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/kEIbrW8m_QxsuTujNXHYEw/MSPLPjevGtXW4sCyblgsqt9k2BNq4cEjQArg6DaTEzxXIBbh0I4NYRFHyVP6ulqU5589jzcBi-EgjTsKrx8fmCODqpFTaeslsoH1Rx0RVyUAshAp_x4WshlX3mWZ02_6vo66t1ZcjADD7mXpnAmDtH-R1DLIl8n4ifgjviKs30BDnqXFMoS3VOPesB2AwzDB/WhwftRnHOK1Ia0V_BV2kpD0vZknvt0yQdsC5-fyaqiI),SP Doc - Bank Customer Services Clerk 4 40.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/XtWBgNMS7r6LSqmMFEVxXQ/wbR7Okj26Rcv0tPxpTZT1dBcVUUQByrbg4Jn_CImAe37jZiH4GZB_2e_G-6BZRjVSa19VOZzW0U7gNkkIMPtITOZpeiUDku2s7gNrJ7jhF7sJAsBMWGbkMoNXWXgc_5CADAcg9QSqR9lOh7qt2PGJMduyrpJfykQw2vCj0po20RI_NHA5AX31yOn7RyMZQFK/_UNzqedgz74xlfjzVpfYKPDGIiRYsRTazC093C62z18)"
SP-250310,Driller,2,28,"SP Curr - Driller 2 28.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/rGEO1usBqxipvGl8X2otwQ/yV1RcXgMlUL3O69cyvPh6sn7Qyvk4UUahgUDNXfq7HV134yL2wndLKPQcKOgab5quu_uOgw312ScHSYxPc9qASLvydexZDTMZ1AtBX9b1TLBcjXD5R6HRYcyii9wI9cgrYmReCrjtDxKkZOIrAIfxYvVvRnfOCk2Fqh4fucoRcY/4pb_IBG8DxjSGsqQPfqaKVzhM7s6eY5naxrxTYuRy0g),SP Doc - Driller 2 28.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/_tygbIZWhx1isg80aRmiSg/6XNAfi4EiEquW5v3K1NC_Ajm9cbbjF4dh2ER0IV1TGdiCsd9S_uCQ9GP49kuNyPIJhnYX4tHpyy8c-JWRpO1xFCd2rvn2HSDY6PuXUgx9hg1QZXRMOFPEXGDSuJeigLDOUjmZ8r_8kOEHhQCuMZN0zjDurpiiznaL4WF0XoLDOI/r3KaXQHxGQhn0Vm-BMIBwsqeU865IF7i3-gy8kuP0ss)"
SP-250903,Horticultural Farm Worker,2,60,"SP Curr - Horticulture Farm Worker 2 60.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/LWCHhP684eb_W-Ynk6ufZA/tlbFyYJTr2F7orbRBAGCaYshsWcvLWPFe2HtVId5kMxVB7hR9rUQAtzHKOmZY7dmFXuyYIrBkIHiO7_j4KqRZn7MJKiN_sDGTTvftBoAWnpOhwbEJn0xkYOn__hbmjxXrKzFFNVPSccgUKpNHBVhheM7DIxcwkNQOEF67yrgeElxrFrNNMXGaYY9DZ5rMnfW/HbOjVjPfpaSeYN4Q6PIPNkon2MsXrsiUeQT62vl9_30),SP Doc - Horticulture Farm Worker 2 60.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/6-0hSSaYQjuv-oYVacPAvA/skRK9HJlLtqkKZwVq5KG4uyqzyPTKdqnAk7Pu3FVp17uze58J-JIJq9YaWKZORy-LctOqpbgjS1s_KR3lGG6CL5uxajxgFklKjbZ2k_vAnty6U7I1vb5dMRijAlfWnNecqbBLUtUpljh5yXNAbJJoUMvcXH4m677_W3clD5MOjqTtuuGc5fL7tEbvXAyiyQ-/ckIgADrndVcX1fNehlldAyyS-6japduL6p85wirj0nk)"
SP-241001,Onsetter,2,51,"SP Curr - Onsetter SP 2 51.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/upxh--zH2E2sr-jxg6lLGg/jRNc1PKi7GVkMlX6s_yeRul_A8bzBvYEHnfDTw7kINXT_Vn89G24gskBMQPU2-JWl5R7dzO3zwOycv6S17n7Eg_IG_g6OcFm_TlGcsBka8U2UQ2sPdsseoGXoDCRe_jrq04gK42C-ksI0JjWoGS0h2Vl5s6wjr6nknGxGk_ZEFY/7TyLPhO6Za8WLWJrGZEmQ3i-IcS-CZV0fWyJ-y9mzsE),SP Doc - Onsetter SP 2 51.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/IMw9H5kfyLiX1EIJluHpaA/1cUr4GzGQrJeuqhYgeCOzBTyXEB82EnAwcuVy6x0cqtBT1BGM1tm1JdEgYtM2TB8qbQRw3smd2KznU5cgZZK-eVt9oBD8sZnjf1OIL5Wtomc22vL6Dpc2-4V7yDidX7lcEBmyul5rVbjfykCj439mvXIhQpTjPS8uN7wnohz4o8/LM73ngEPQl3jGmgrTUJdQ6AKTHmXJ86kcUg7mCnr9LY)"
SP-250201,Tube Set Finisher,3,49,"SP Curr - Tube Set Finisher 3 49.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/0aE8dG4r3DN-4vCaKNb2Ow/MFYLqN6tRgru5Dz4tW1qmtXQ4OB5ZJ2AOsAW0eDJ2z8hPDVyJpGK1Wl3382piQvddSjRSVFjqkDFMkLCBN6ByBnM8gbb1etyzBa5FJoOkDd_pzi1iXheYWuVf1_zRGqSetnOUMDuAVr6vV_cHSxEakT9d8eZLakwsAyqfN7dUsEf8ZUOIgFZslyKwetd8fUr/_nwspxJBlpqP9RzTFYYqg8ayLZWhh0PuaouO8QkiwQQ),SP Doc - Tube Set Finisher 3 49.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/A82IM3GRfXhJ-8PtmLWQXg/BfTadtSDL2GLNkNp0ybeRDn1ZSg-X3wTujg9t9_LawOGqr69_nuEWdpMHUcnBH1mt5PURug4xPqT6bk2och7o6mbWo3s7p3y_GZQhPXARlHNwFyAU-AkKSCyIcePmkdoHni9cVAJRWJTCbvTgcOZflF9vuxqzZLeBaBQzRsonOZbOpHbBmZnafuW5kU0Tp8t/C0BCxgTBiEkJ_sIh8tGtXrXU1bCUEgZYUOFHTZ1McsQ)"
SP-220327,Fifth Generation (5G) Cellular Network Administrator,4,59,"SP Curr 5G Network Administrator 4 59.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/g5A2EhDlgU7ksItkK1uHhQ/VKhMXG7F17iCF_x1GzHfjCmPMyFElQz3xLBwsxg-UTqLevaGm55Jgha6QMMcvZWZy81a_xxTUyOklHvhdxCzWPrGchAzUx3UJ9-7YaI0BaygO95N3mb1KgPz86QqS0zvUKFjTHHDi5sQ15rl8UTE09lu9j9zGRRf-t_AdBkTjw0/IyzzJgiGOgXsWRmdzJ71t-c-pWZzcCilUeL8-_0xhvw),SP Doc 5G Cellular Network Administrator 4 59.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/ZN_aH7O4fzJ51swig1_O1A/En_vaUjzrkt5n-rO46IDaWBe0h6MgnHAxcVzjjCFttYWBG9y2xnoQbSSmorO10hGnw95pZZ9qTbeysazcxhmFLOQLQ7R12h011Z4WfVaAEy5LBTS5ylqzs-4HhM26mcqarVZtwKdV8lngLLErrpIx3nh9C_z5JWo4EEHAXpJ4uyrYcVeUVrmyunVzG4zk_H-/kqencLr27KfYyZWp1fbPovmM5HJ-lDi1AXgAJBSVTHo)"
SP-230803,Advanced Emergency First Aid Responder,4,6,"SP Curr Advanced Emergency First Aid Responder 4 6.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/d3ouAKOOiga5tq4aZUPGBA/urrTFshB2tTtoyqc-eAFHgyh0KyBigjW7pFk4Pw_J-NKhMs4L7wf1U1omj55ECvQll5xSVZMS6BYDweE-7JXAArEKXfWTCo8Jxa_g3-x1BYlezpgTx24GEbD6IqaXHQTC_UXr1tXbKi8CBvw0u_ZOIMmo1v_4Pt4b4CRAnE7iDOiRZ2wZi_3blD6cjR6BRiw/09klEfUhjFnktYerQToXmS70Q6RbEit14jf5hqCqE18),SP Doc Advanced Emergency First Aid Responder 4 6.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1766800800000/SkdMfArjbNt2p2o8ELHfQQ/n6PcpMrdPjhc_zJs6Nez09PedU5NaN64i_W4kHSEUb1665lilRAfMubTRU336z_7JdZIkJTERMBa9KiEwAnGNx1kzl18NR4lVjNScoUAz8tX6wwGSb_bJyMo8VE4XGIqzCngx-6BJPpPbz-7YNWt3T6d1i9UAC9i_MvDibeDP0g_sSpJGjFJ_zN6paikkOzC/EvUBZcewNpIx7tVdeBJ3mnrQ2of-gqqAym6-xjjfhPs)"
