University Name,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Physical Address Line 1,Physical Address Line 2,Physical Address Line 3,Physical Address Line 4,Website,VC/Rector Name,VC/Rector Tel,VC/Rector Fax,VC/Rector Email,Secretary/PA Name,Secretary/PA Email,Province
Cape Peninsula University of Technology,,,,CPUT Bellville Campus,"Admin Building, 2nd Floor","Symphony Way, Off Modderdam Road","BELLVILLE, 7535",www.cput.ac.za,Dr C Nhlapo (Chris),021-9596201 / 6244 / 4603353,021-9515422,,Hilda Haupt,haupth@cput.ac.za,Western Cape
University of Cape Town,Private Bag,"RONDEBOSCH, 7701",,Bremner Building,Lovers Lane,RONDEBOSCH,,www.uct.ac.za,Dr M Price (Max),021-6502105/6,021-6505100,vc@uct.ac.za,Deborah Hendricks,deborah.hendricks@uct.ac.za,Western Cape
Central University of Technology,Private Bag X20539,"BLOEMFONTEIN, 9300",,20 President Brand Street,"Mahabane Building, 1St Floor","Bloemfontein, 9301",,www.cut.ac.za,Prof H De Jager (Henk),051-5073001,051-5073310,vc@cut.ac.za,Sandra Leeu,sleeu@cut.ac.za,Free State
Durban University of Technology,,,,"Milena Court, Gate 1",79 Steve Biko Road,Steve Biko Campus,"DURBAN, 4001",www.dut.ac.za,Prof T Mthembu (Thandwa),031-3732474 / 2411,031-37332011,vc@dut.ac.za,Sushila Moodley,sushim@dut.ac.za,Kwa Zulu Natal
University of Fort Hare,Private Bag X1314,"ALICE, 5700",,,,,,www.ufh.ac.za,Prof S Buhlungu (Sakhela),040-6022071,040-6031338,tmapukata@ufh.ac.za,Khanyisa Gola,kgola@ufh.ac.za,Eastern Cape
University of the Free State,PO Box 339,"BLOEMFONTEIN, 9300",,Main Building H11,"Nelson Mandela Drive, Brandwag","BLOEMFONTEIN, 9301",,www.ufs.ac.za,Prof F Petersen (Francis),051-4017000,051-4013669,rector@ufs.ac.za,,,Free State
University of Johannesburg,PO Box 524,"AUCKLAND PARK, 2006",,"1st Floor, Madibeng Building,",Cnr Kingsway and University Road,Kingsway Campus,"AUCKLAND PARK, 2006",www.uj.ac.za,Prof T Marwala (Tshilidzi),011-559 4805 / 2911,011-559 4807,Thabom@uj.ac.za,,,Gauteng
University of KwaZulu Natal,Private Bag X54001,"DURBAN, 4041",,1st Floor Admin Building,Chiltern Hill,University Road,"WESTVILLE, 3629",www.ukzn.ac.za,Prof A van Jaarsveld (Albert),031-2602227/8,031-2615685,,Ms Julie Reddy,Reddyj1@ukzn.ac.za,Kwa Zulu Natal
University of Limpopo,Private Bag X1106,"SOVENGA, 0727",,"A Block, 4th Floor",Mankweng,"SOVENGA, 0727",,www.ul.ac.za,Prof NM Mokgalong (Mahlo),015-2682140 / 2100,015-2670142,,Frances Pratt,frances.pratt@ul.ac.za,Limpopo
Mangosuthu University of Technology,,,,West Wing,Mangosuthu Highway,"UMLAZI, 4031",,www.mut.ac.za,Prof D Malaza (Duma),031-907 7219,031-9065470,vc@mut.ac.za,Ritta,adsecretary@mut.ac.za,Kwa Zulu Natal
Mpumalanga University,Private Bag X11283,Mbombela,1200,,,,,www.ump.ac.za,Prof T Mayekiso (Thoko),,086 516 4284,,Nozuko Ngqukana,Nozuko.ngqukana@ump.ac.za,Mpumalanga
Nelson Mandela Metropolitan University,PO Box 77000,"PORT ELIZABETH, 6031",,"Main Building, 18th Floor, Room 1801","NMMU South Campus, University Road","SUMMER STRAND, PORT ELIZABETH, 6001",,www.nmu.ac.za,Prof S Muthwa (Sibongile),041-504 3211,041-5049211 / 3212,vc@mandela.ac.za,Babalwa Shushu,,Eastern Cape
North-West University,Private Bag X6001,"POTCHEFSTROOM,2520",,Joon van Rooyen Building,11 Hoffman Street,"POTCHEFSTROOM, 2521",,www.nwu.ac.za,Prof D Kgwadi (Dan),018-2994901/2,018-2994910,,Lerato Tsagae,lerato.tsagae@nwu.ac.za,North West
University of Pretoria,"Private Bag X20, Hatfield, 0028",,,Lynnwood Road,Admin Building 433,University of Pretoria,"PRETORIA, 0002",www.up.ac.za,Prof C de la Rey (Cheryl),012-4202900 / 4434,012-4204530,rector@up.ac.za,Diana Cochrane-Van Eeden,Diana.Cochrane@up.ac.za,Gauteng
Rhodes University,PO Box 94,"GRAHAMSTOWN, 6140",,Vice-Chancellors Office,Rhodes University,Main Administration Building,,www.ru.ac.za,Dr ostdy Road,046-603 8148/7515,046-622 8444,vc@ru.ac.za,Michelle Burger,m.burger@ru.ac.za,Eastern Cape
Sefako Makgatho Health & Sciences University,PO Box 203,Medunsa,204,,,,,www.smu.ac.za,Prof C de Beer (Chris),,012 560 0274,,Erica Ehlers,erica.ehlers@smu.ac.za,Gauteng
Sol Plaatje University,Private Bag X5008,Kimberley,8300,"North Campus, Chapel Street",,,,www.spu.ac.za,Prof Y Ballim (Yunus),,086416 2285,yunus.ballim@spu.ac.za,Ms Yumna Moodaley-du Toit,yumna.mdutoit@spu.ac.za,Northern Cape
Stellenbosch University,Private Bag X1,"MATIELAND, 7602",,Admin Building B,Victoria Street,"STELLENBOSCH, 7602",,www.sun.ac.za,Prof W de Villiers (Wim),021-8084490,021-8083714,vc@sun.ac.za,Wildre Kok,wkok@sun.ac.za,Western Cape
Tshwane University of Technology,Private Bag X680,"PRETORIA, 0001",,"Building 21, 5th Floor, Room 556",Staatsartillery Road,"PRETORIA-WEST, 0183",,www.tut.ac.za,Prof L van Staden (Lourens),012-3824112/3,012-3825422,vc@tut.ac.za,Elizma van der Linde,vanderlindeme@tut.ac.za,Gauteng
Vaal University of Technology,Private Bag X021,"VANDERBIJLPARK, 1911",,A Block,"Cnr, Andries Potgieter Boulevard & Barrage Road","VANDERBIJLPARK, 1911",,www.vut.ac.za,Prof NG Zide (Gordon),016-9509215,016-9509800,gapenyanes@vut.ac.za,,,Gauteng
